Original gene set ID	Original gene set description
ENSG00000131508	UBE2D2 PPI subnetwork
ENSG00000131558	EXOC4 PPI subnetwork
ENSG00000131626	PPFIA1 PPI subnetwork
ENSG00000131652	THOC6 PPI subnetwork
ENSG00000131711	MAP1B PPI subnetwork
ENSG00000131721	RHOXF2 PPI subnetwork
ENSG00000131724	IL13RA1 PPI subnetwork
ENSG00000131746	TNS4 PPI subnetwork
ENSG00000131747	TOP2A PPI subnetwork
ENSG00000131759	RARA PPI subnetwork
ENSG00000131773	KHDRBS3 PPI subnetwork
ENSG00000131788	PIAS3 PPI subnetwork
ENSG00000131791	PRKAB2 PPI subnetwork
ENSG00000131795	RBM8A PPI subnetwork
ENSG00000131828	PDHA1 PPI subnetwork
ENSG00000131876	SNRPA1 PPI subnetwork
ENSG00000131899	LLGL1 PPI subnetwork
ENSG00000131910	NR0B2 PPI subnetwork
ENSG00000131931	THAP1 PPI subnetwork
ENSG00000131941	RHPN2 PPI subnetwork
ENSG00000131979	GCH1 PPI subnetwork
ENSG00000131981	LGALS3 PPI subnetwork
ENSG00000131982	ENSG00000131982 PPI subnetwork
ENSG00000132002	DNAJB1 PPI subnetwork
ENSG00000132005	RFX1 PPI subnetwork
ENSG00000132016	C19orf57 PPI subnetwork
ENSG00000132109	TRIM21 PPI subnetwork
ENSG00000132139	GAS2L2 PPI subnetwork
ENSG00000132142	ACACA PPI subnetwork
ENSG00000132153	DHX30 PPI subnetwork
ENSG00000132155	RAF1 PPI subnetwork
ENSG00000132170	PPARG PPI subnetwork
ENSG00000132182	NUP210 PPI subnetwork
ENSG00000132196	HSD17B7 PPI subnetwork
ENSG00000132300	PTCD3 PPI subnetwork
ENSG00000132305	IMMT PPI subnetwork
ENSG00000132326	PER2 PPI subnetwork
ENSG00000132334	PTPRE PPI subnetwork
ENSG00000132341	RAN PPI subnetwork
ENSG00000132356	PRKAA1 PPI subnetwork
ENSG00000132357	CARD6 PPI subnetwork
ENSG00000132361	KIAA0664 PPI subnetwork
ENSG00000132382	MYBBP1A PPI subnetwork
ENSG00000132383	RPA1 PPI subnetwork
ENSG00000132394	EEFSEC PPI subnetwork
ENSG00000132424	PNISR PPI subnetwork
ENSG00000132432	SEC61G PPI subnetwork
ENSG00000132464	ENAM PPI subnetwork
ENSG00000132467	UTP3 PPI subnetwork
ENSG00000132470	ITGB4 PPI subnetwork
ENSG00000132471	WBP2 PPI subnetwork
ENSG00000132475	H3F3B PPI subnetwork
ENSG00000132485	ZRANB2 PPI subnetwork
ENSG00000132507	EIF5A PPI subnetwork
ENSG00000132522	GPS2 PPI subnetwork
ENSG00000132535	DLG4 PPI subnetwork
ENSG00000132561	MATN2 PPI subnetwork
ENSG00000132589	FLOT2 PPI subnetwork
ENSG00000132603	NIP7 PPI subnetwork
ENSG00000132604	TERF2 PPI subnetwork
ENSG00000132612	VPS4A PPI subnetwork
ENSG00000132639	SNAP25 PPI subnetwork
ENSG00000132646	PCNA PPI subnetwork
ENSG00000132664	POLR3F PPI subnetwork
ENSG00000132669	RIN2 PPI subnetwork
ENSG00000132670	PTPRA PPI subnetwork
ENSG00000132676	DAP3 PPI subnetwork
ENSG00000132688	NES PPI subnetwork
ENSG00000132692	BCAN PPI subnetwork
ENSG00000132693	CRP PPI subnetwork
ENSG00000132694	ARHGEF11 PPI subnetwork
ENSG00000132698	RAB25 PPI subnetwork
ENSG00000132703	APCS PPI subnetwork
ENSG00000132773	TOE1 PPI subnetwork
ENSG00000132780	NASP PPI subnetwork
ENSG00000132824	SERINC3 PPI subnetwork
ENSG00000132825	PPP1R3D PPI subnetwork
ENSG00000132842	AP3B1 PPI subnetwork
ENSG00000132849	INADL PPI subnetwork
ENSG00000132872	SYT4 PPI subnetwork
ENSG00000132906	CASP9 PPI subnetwork
ENSG00000132963	POMP PPI subnetwork
ENSG00000132964	CDK8 PPI subnetwork
ENSG00000132970	WASF3 PPI subnetwork
ENSG00000133019	CHRM3 PPI subnetwork
ENSG00000133026	MYH10 PPI subnetwork
ENSG00000133027	PEMT PPI subnetwork
ENSG00000133030	MPRIP PPI subnetwork
ENSG00000133056	PIK3C2B PPI subnetwork
ENSG00000133059	DSTYK PPI subnetwork
ENSG00000133083	DCLK1 PPI subnetwork
ENSG00000133101	CCNA1 PPI subnetwork
ENSG00000133103	COG6 PPI subnetwork
ENSG00000133104	SPG20 PPI subnetwork
ENSG00000133107	TRPC4 PPI subnetwork
ENSG00000133112	TPT1 PPI subnetwork
ENSG00000133116	KL PPI subnetwork
ENSG00000133119	RFC3 PPI subnetwork
ENSG00000133121	STARD13 PPI subnetwork
ENSG00000133124	IRS4 PPI subnetwork
ENSG00000133216	EPHB2 PPI subnetwork
ENSG00000133226	SRRM1 PPI subnetwork
ENSG00000133243	BTBD2 PPI subnetwork
ENSG00000133265	HSPBP1 PPI subnetwork
ENSG00000133275	CSNK1G2 PPI subnetwork
ENSG00000133313	CNDP2 PPI subnetwork
ENSG00000133316	WDR74 PPI subnetwork
ENSG00000133318	RTN3 PPI subnetwork
ENSG00000133392	MYH11 PPI subnetwork
ENSG00000133398	MED10 PPI subnetwork
ENSG00000133477	FAM83F PPI subnetwork
ENSG00000133511	ENSG00000133511 PPI subnetwork
ENSG00000133627	ACTR3B PPI subnetwork
ENSG00000133657	ATP13A3 PPI subnetwork
ENSG00000133703	KRAS PPI subnetwork
ENSG00000133704	IPO8 PPI subnetwork
ENSG00000133706	LARS PPI subnetwork
ENSG00000133710	SPINK5 PPI subnetwork
ENSG00000133740	E2F5 PPI subnetwork
ENSG00000133773	CCDC59 PPI subnetwork
ENSG00000133794	ARNTL PPI subnetwork
ENSG00000133805	AMPD3 PPI subnetwork
ENSG00000133812	SBF2 PPI subnetwork
ENSG00000133816	MICAL2 PPI subnetwork
ENSG00000133818	RRAS2 PPI subnetwork
ENSG00000133895	MEN1 PPI subnetwork
ENSG00000133935	C14orf1 PPI subnetwork
ENSG00000133937	GSC PPI subnetwork
ENSG00000133958	UNC79 PPI subnetwork
ENSG00000133961	NUMB PPI subnetwork
ENSG00000133997	MED6 PPI subnetwork
ENSG00000134001	EIF2S1 PPI subnetwork
ENSG00000134014	ELP3 PPI subnetwork
ENSG00000134025	ENSG00000134025 PPI subnetwork
ENSG00000134046	MBD2 PPI subnetwork
ENSG00000134057	CCNB1 PPI subnetwork
ENSG00000134058	CDK7 PPI subnetwork
ENSG00000134070	IRAK2 PPI subnetwork
ENSG00000134072	CAMK1 PPI subnetwork
ENSG00000134086	VHL PPI subnetwork
ENSG00000134107	BHLHE40 PPI subnetwork
ENSG00000134109	EDEM1 PPI subnetwork
ENSG00000134138	MEIS2 PPI subnetwork
ENSG00000134184	GSTM1 PPI subnetwork
ENSG00000134202	GSTM3 PPI subnetwork
ENSG00000134215	VAV3 PPI subnetwork
ENSG00000134216	CHIA PPI subnetwork
ENSG00000134242	PTPN22 PPI subnetwork
ENSG00000134243	SORT1 PPI subnetwork
ENSG00000134245	WNT2B PPI subnetwork
ENSG00000134248	HBXIP PPI subnetwork
ENSG00000134250	NOTCH2 PPI subnetwork
ENSG00000134255	CEPT1 PPI subnetwork
ENSG00000134259	NGF PPI subnetwork
ENSG00000134287	ARF3 PPI subnetwork
ENSG00000134308	YWHAQ PPI subnetwork
ENSG00000134313	KIDINS220 PPI subnetwork
ENSG00000134318	ROCK2 PPI subnetwork
ENSG00000134333	LDHA PPI subnetwork
ENSG00000134352	IL6ST PPI subnetwork
ENSG00000134363	FST PPI subnetwork
ENSG00000134365	CFHR4 PPI subnetwork
ENSG00000134371	CDC73 PPI subnetwork
ENSG00000134376	CRB1 PPI subnetwork
ENSG00000134398	ERN2 PPI subnetwork
ENSG00000134419	RPS15A PPI subnetwork
ENSG00000134440	NARS PPI subnetwork
ENSG00000134444	KIAA1468 PPI subnetwork
ENSG00000134453	RBM17 PPI subnetwork
ENSG00000134460	IL2RA PPI subnetwork
ENSG00000134470	IL15RA PPI subnetwork
ENSG00000134480	CCNH PPI subnetwork
ENSG00000134490	TMEM241 PPI subnetwork
ENSG00000134508	CABLES1 PPI subnetwork
ENSG00000134574	DDB2 PPI subnetwork
ENSG00000134588	USP26 PPI subnetwork
ENSG00000134597	RBMX2 PPI subnetwork
ENSG00000134602	ENSG00000134602 PPI subnetwork
ENSG00000134640	MTNR1B PPI subnetwork
ENSG00000134684	YARS PPI subnetwork
ENSG00000134686	PHC2 PPI subnetwork
ENSG00000134690	CDCA8 PPI subnetwork
ENSG00000134697	GNL2 PPI subnetwork
ENSG00000134717	BTF3L4 PPI subnetwork
ENSG00000134759	ELP2 PPI subnetwork
ENSG00000134769	DTNA PPI subnetwork
ENSG00000134809	TIMM10 PPI subnetwork
ENSG00000134852	CLOCK PPI subnetwork
ENSG00000134853	PDGFRA PPI subnetwork
ENSG00000134871	COL4A2 PPI subnetwork
ENSG00000134882	UBAC2 PPI subnetwork
ENSG00000134899	ERCC5 PPI subnetwork
ENSG00000134909	ARHGAP32 PPI subnetwork
ENSG00000134954	ETS1 PPI subnetwork
ENSG00000134982	APC PPI subnetwork
ENSG00000134987	WDR36 PPI subnetwork
ENSG00000135018	UBQLN1 PPI subnetwork
ENSG00000135046	ANXA1 PPI subnetwork
ENSG00000135047	CTSL1 PPI subnetwork
ENSG00000135052	GOLM1 PPI subnetwork
ENSG00000135069	PSAT1 PPI subnetwork
ENSG00000135074	ADAM19 PPI subnetwork
ENSG00000135090	TAOK3 PPI subnetwork
ENSG00000135097	MSI1 PPI subnetwork
ENSG00000135100	HNF1A PPI subnetwork
ENSG00000135144	DTX1 PPI subnetwork
ENSG00000135213	POM121C PPI subnetwork
ENSG00000135218	CD36 PPI subnetwork
ENSG00000135249	RINT1 PPI subnetwork
ENSG00000135250	SRPK2 PPI subnetwork
ENSG00000135269	TES PPI subnetwork
ENSG00000135316	SYNCRIP PPI subnetwork
ENSG00000135333	EPHA7 PPI subnetwork
ENSG00000135336	ORC3 PPI subnetwork
ENSG00000135338	LCA5 PPI subnetwork
ENSG00000135341	MAP3K7 PPI subnetwork
ENSG00000135363	LMO2 PPI subnetwork
ENSG00000135365	PHF21A PPI subnetwork
ENSG00000135372	NAT10 PPI subnetwork
ENSG00000135387	CAPRIN1 PPI subnetwork
ENSG00000135390	ATP5G2 PPI subnetwork
ENSG00000135404	CD63 PPI subnetwork
ENSG00000135409	AMHR2 PPI subnetwork
ENSG00000135424	ITGA7 PPI subnetwork
ENSG00000135441	BLOC1S1 PPI subnetwork
ENSG00000135446	CDK4 PPI subnetwork
ENSG00000135480	KRT7 PPI subnetwork
ENSG00000135486	HNRNPA1 PPI subnetwork
ENSG00000135503	ACVR1B PPI subnetwork
ENSG00000135506	OS9 PPI subnetwork
ENSG00000135547	HEY2 PPI subnetwork
ENSG00000135597	REPS1 PPI subnetwork
ENSG00000135604	STX11 PPI subnetwork
ENSG00000135605	TEC PPI subnetwork
ENSG00000135624	CCT7 PPI subnetwork
ENSG00000135631	RAB11FIP5 PPI subnetwork
ENSG00000135655	USP15 PPI subnetwork
ENSG00000135679	MDM2 PPI subnetwork
ENSG00000135698	MPHOSPH6 PPI subnetwork
ENSG00000135723	FHOD1 PPI subnetwork
ENSG00000135744	AGT PPI subnetwork
ENSG00000135750	KCNK1 PPI subnetwork
ENSG00000135775	COG2 PPI subnetwork
ENSG00000135801	TAF5L PPI subnetwork
ENSG00000135821	GLUL PPI subnetwork
ENSG00000135823	STX6 PPI subnetwork
ENSG00000135828	RNASEL PPI subnetwork
ENSG00000135829	DHX9 PPI subnetwork
ENSG00000135845	PIGC PPI subnetwork
ENSG00000135862	LAMC1 PPI subnetwork
ENSG00000135900	MRPL44 PPI subnetwork
ENSG00000135903	PAX3 PPI subnetwork
ENSG00000135916	ITM2C PPI subnetwork
ENSG00000135925	WNT10A PPI subnetwork
ENSG00000135930	EIF4E2 PPI subnetwork
ENSG00000135932	CAB39 PPI subnetwork
ENSG00000135940	COX5B PPI subnetwork
ENSG00000135945	REV1 PPI subnetwork
ENSG00000135968	GCC2 PPI subnetwork
ENSG00000135972	MRPS9 PPI subnetwork
ENSG00000135999	EPC2 PPI subnetwork
ENSG00000136002	ARHGEF4 PPI subnetwork
ENSG00000136003	ISCU PPI subnetwork
ENSG00000136011	STAB2 PPI subnetwork
ENSG00000136021	SCYL2 PPI subnetwork
ENSG00000136026	CKAP4 PPI subnetwork
ENSG00000136044	APPL2 PPI subnetwork
ENSG00000136045	PWP1 PPI subnetwork
ENSG00000136068	FLNB PPI subnetwork
ENSG00000136108	CKAP2 PPI subnetwork
ENSG00000136110	LECT1 PPI subnetwork
ENSG00000136111	TBC1D4 PPI subnetwork
ENSG00000136146	MED4 PPI subnetwork
ENSG00000136149	ENSG00000136149 PPI subnetwork
ENSG00000136152	COG3 PPI subnetwork
ENSG00000136153	LMO7 PPI subnetwork
ENSG00000136156	ITM2B PPI subnetwork
ENSG00000136158	SPRY2 PPI subnetwork
ENSG00000136160	EDNRB PPI subnetwork
ENSG00000136169	SETDB2 PPI subnetwork
ENSG00000136205	TNS3 PPI subnetwork
ENSG00000136231	IGF2BP3 PPI subnetwork
ENSG00000136238	RAC1 PPI subnetwork
ENSG00000136243	NUPL2 PPI subnetwork
ENSG00000136244	IL6 PPI subnetwork
ENSG00000136250	AOAH PPI subnetwork
ENSG00000136270	TBRG4 PPI subnetwork
ENSG00000136271	DDX56 PPI subnetwork
ENSG00000136273	HUS1 PPI subnetwork
ENSG00000136279	DBNL PPI subnetwork
ENSG00000136286	MYO1G PPI subnetwork
ENSG00000136352	NKX2-1 PPI subnetwork
ENSG00000136383	ALPK3 PPI subnetwork
ENSG00000136436	CALCOCO2 PPI subnetwork
ENSG00000136448	NMT1 PPI subnetwork
ENSG00000136450	SRSF1 PPI subnetwork
ENSG00000136485	DCAF7 PPI subnetwork
ENSG00000136488	CSH1 PPI subnetwork
ENSG00000136504	KAT7 PPI subnetwork
ENSG00000136518	ACTL6A PPI subnetwork
ENSG00000136521	NDUFB5 PPI subnetwork
ENSG00000136527	TRA2B PPI subnetwork
ENSG00000136531	SCN2A PPI subnetwork
ENSG00000136560	TANK PPI subnetwork
ENSG00000136573	BLK PPI subnetwork
ENSG00000136574	GATA4 PPI subnetwork
ENSG00000136603	SKIL PPI subnetwork
ENSG00000136628	EPRS PPI subnetwork
ENSG00000136631	VPS45 PPI subnetwork
ENSG00000136634	IL10 PPI subnetwork
ENSG00000136636	KCTD3 PPI subnetwork
ENSG00000136653	RASSF5 PPI subnetwork
ENSG00000136695	IL36RN PPI subnetwork
ENSG00000136709	WDR33 PPI subnetwork
ENSG00000136715	SAP130 PPI subnetwork
ENSG00000136717	BIN1 PPI subnetwork
ENSG00000136718	IMP4 PPI subnetwork
ENSG00000136731	UGGT1 PPI subnetwork
ENSG00000136738	STAM PPI subnetwork
ENSG00000136754	ABI1 PPI subnetwork
ENSG00000136807	CDK9 PPI subnetwork
ENSG00000136810	TXN PPI subnetwork
ENSG00000136813	KIAA0368 PPI subnetwork
ENSG00000136824	SMC2 PPI subnetwork
ENSG00000136842	TMOD1 PPI subnetwork
ENSG00000136854	STXBP1 PPI subnetwork
ENSG00000136861	CDK5RAP2 PPI subnetwork
ENSG00000136869	TLR4 PPI subnetwork
ENSG00000136875	PRPF4 PPI subnetwork
ENSG00000136888	ATP6V1G1 PPI subnetwork
ENSG00000136891	TEX10 PPI subnetwork
ENSG00000136930	PSMB7 PPI subnetwork
ENSG00000136931	NR5A1 PPI subnetwork
ENSG00000136936	XPA PPI subnetwork
ENSG00000136937	NCBP1 PPI subnetwork
ENSG00000136938	ANP32B PPI subnetwork
ENSG00000136942	RPL35 PPI subnetwork
ENSG00000136944	LMX1B PPI subnetwork
ENSG00000136950	ARPC5L PPI subnetwork
ENSG00000136982	DSCC1 PPI subnetwork
ENSG00000136986	DERL1 PPI subnetwork
ENSG00000136997	MYC PPI subnetwork
ENSG00000136999	NOV PPI subnetwork
ENSG00000137054	POLR1E PPI subnetwork
ENSG00000137055	PLAA PPI subnetwork
ENSG00000137070	IL11RA PPI subnetwork
ENSG00000137074	APTX PPI subnetwork
ENSG00000137076	TLN1 PPI subnetwork
ENSG00000137080	IFNA21 PPI subnetwork
ENSG00000137124	ALDH1B1 PPI subnetwork
ENSG00000137154	RPS6 PPI subnetwork
ENSG00000137171	KLC4 PPI subnetwork
ENSG00000137177	KIF13A PPI subnetwork
ENSG00000137193	PIM1 PPI subnetwork
ENSG00000137203	TFAP2A PPI subnetwork
ENSG00000137218	FRS3 PPI subnetwork
ENSG00000137259	HIST1H2AB PPI subnetwork
ENSG00000137267	TUBB2A PPI subnetwork
ENSG00000137275	RIPK1 PPI subnetwork
ENSG00000137285	TUBB2B PPI subnetwork
ENSG00000137309	HMGA1 PPI subnetwork
ENSG00000137312	FLOT1 PPI subnetwork
ENSG00000137324	ENSG00000137324 PPI subnetwork
ENSG00000137332	DDR1 PPI subnetwork
ENSG00000137337	MDC1 PPI subnetwork
ENSG00000137345	MOG PPI subnetwork
ENSG00000137379	ENSG00000137379 PPI subnetwork
ENSG00000137403	HLA-F PPI subnetwork
ENSG00000137413	TAF8 PPI subnetwork
ENSG00000137462	TLR2 PPI subnetwork
ENSG00000137474	MYO7A PPI subnetwork
ENSG00000137486	ARRB1 PPI subnetwork
ENSG00000137497	NUMA1 PPI subnetwork
ENSG00000137500	CCDC90B PPI subnetwork
ENSG00000137547	MRPL15 PPI subnetwork
ENSG00000137561	TTPA PPI subnetwork
ENSG00000137574	TGS1 PPI subnetwork
ENSG00000137575	SDCBP PPI subnetwork
ENSG00000137601	NEK1 PPI subnetwork
ENSG00000137642	SORL1 PPI subnetwork
ENSG00000137656	BUD13 PPI subnetwork
ENSG00000137672	TRPC6 PPI subnetwork
ENSG00000137673	MMP7 PPI subnetwork
ENSG00000137693	YAP1 PPI subnetwork
ENSG00000137699	TRIM29 PPI subnetwork
ENSG00000137709	POU2F3 PPI subnetwork
ENSG00000137710	RDX PPI subnetwork
ENSG00000137713	PPP2R1B PPI subnetwork
ENSG00000137726	FXYD6 PPI subnetwork
ENSG00000137752	CASP1 PPI subnetwork
ENSG00000137757	CASP5 PPI subnetwork
ENSG00000137764	MAP2K5 PPI subnetwork
ENSG00000137767	SQRDL PPI subnetwork
ENSG00000137801	THBS1 PPI subnetwork
ENSG00000137807	KIF23 PPI subnetwork
ENSG00000137812	CASC5 PPI subnetwork
ENSG00000137815	RTF1 PPI subnetwork
ENSG00000137818	RPLP1 PPI subnetwork
ENSG00000137822	TUBGCP4 PPI subnetwork
ENSG00000137825	ITPKA PPI subnetwork
ENSG00000137831	UACA PPI subnetwork
ENSG00000137834	SMAD6 PPI subnetwork
ENSG00000137841	PLCB2 PPI subnetwork
ENSG00000137843	PAK6 PPI subnetwork
ENSG00000137845	ADAM10 PPI subnetwork
ENSG00000137876	RSL24D1 PPI subnetwork
ENSG00000137878	GCOM1 PPI subnetwork
ENSG00000137936	BCAR3 PPI subnetwork
ENSG00000137944	CCBL2 PPI subnetwork
ENSG00000137947	GTF2B PPI subnetwork
ENSG00000137955	RABGGTB PPI subnetwork
ENSG00000137975	CLCA2 PPI subnetwork
ENSG00000137992	DBT PPI subnetwork
ENSG00000137996	RTCD1 PPI subnetwork
ENSG00000138018	EPT1 PPI subnetwork
ENSG00000138029	HADHB PPI subnetwork
ENSG00000138030	KHK PPI subnetwork
ENSG00000138031	ADCY3 PPI subnetwork
ENSG00000138032	PPM1B PPI subnetwork
ENSG00000138039	LHCGR PPI subnetwork
ENSG00000138041	SMEK2 PPI subnetwork
ENSG00000138069	RAB1A PPI subnetwork
ENSG00000138071	ACTR2 PPI subnetwork
ENSG00000138081	FBXO11 PPI subnetwork
ENSG00000138083	SIX3 PPI subnetwork
ENSG00000138092	CENPO PPI subnetwork
ENSG00000138095	LRPPRC PPI subnetwork
ENSG00000138101	DTNB PPI subnetwork
ENSG00000138107	ACTR1A PPI subnetwork
ENSG00000138162	TACC2 PPI subnetwork
ENSG00000138175	ARL3 PPI subnetwork
ENSG00000138180	CEP55 PPI subnetwork
ENSG00000138190	EXOC6 PPI subnetwork
ENSG00000138193	PLCE1 PPI subnetwork
ENSG00000138293	NCOA4 PPI subnetwork
ENSG00000138297	TIMM23 PPI subnetwork
ENSG00000138308	PLA2G12B PPI subnetwork
ENSG00000138326	RPS24 PPI subnetwork
ENSG00000138346	DNA2 PPI subnetwork
ENSG00000138363	ATIC PPI subnetwork
ENSG00000138376	BARD1 PPI subnetwork
ENSG00000138378	STAT4 PPI subnetwork
ENSG00000138385	SSB PPI subnetwork
ENSG00000138396	ENSG00000138396 PPI subnetwork
ENSG00000138398	PPIG PPI subnetwork
ENSG00000138411	HECW2 PPI subnetwork
ENSG00000138413	IDH1 PPI subnetwork
ENSG00000138430	OLA1 PPI subnetwork
ENSG00000138433	CIR1 PPI subnetwork
ENSG00000138439	FAM117B PPI subnetwork
ENSG00000138442	WDR12 PPI subnetwork
ENSG00000138443	ABI2 PPI subnetwork
ENSG00000138448	ITGAV PPI subnetwork
ENSG00000138468	SENP7 PPI subnetwork
ENSG00000138495	COX17 PPI subnetwork
ENSG00000138592	USP8 PPI subnetwork
ENSG00000138594	TMOD3 PPI subnetwork
ENSG00000138642	HERC6 PPI subnetwork
ENSG00000138663	COPS4 PPI subnetwork
ENSG00000138668	HNRNPD PPI subnetwork
ENSG00000138674	SEC31A PPI subnetwork
ENSG00000138675	FGF5 PPI subnetwork
ENSG00000138684	IL21 PPI subnetwork
ENSG00000138685	FGF2 PPI subnetwork
ENSG00000138696	BMPR1B PPI subnetwork
ENSG00000138698	RAP1GDS1 PPI subnetwork
ENSG00000138709	LARP1B PPI subnetwork
ENSG00000138722	MMRN1 PPI subnetwork
ENSG00000138741	TRPC3 PPI subnetwork
ENSG00000138750	NUP54 PPI subnetwork
ENSG00000138756	BMP2K PPI subnetwork
ENSG00000138757	G3BP2 PPI subnetwork
ENSG00000138758	SEPT11 PPI subnetwork
ENSG00000138764	CCNG2 PPI subnetwork
ENSG00000138767	CNOT6L PPI subnetwork
ENSG00000138768	USO1 PPI subnetwork
ENSG00000138771	SHROOM3 PPI subnetwork
ENSG00000138778	CENPE PPI subnetwork
ENSG00000138794	CASP6 PPI subnetwork
ENSG00000138795	LEF1 PPI subnetwork
ENSG00000138798	EGF PPI subnetwork
ENSG00000138802	SEC24B PPI subnetwork
ENSG00000138814	PPP3CA PPI subnetwork
ENSG00000138834	MAPK8IP3 PPI subnetwork
ENSG00000138835	RGS3 PPI subnetwork
ENSG00000139083	ETV6 PPI subnetwork
ENSG00000139112	GABARAPL1 PPI subnetwork
ENSG00000139116	KIF21A PPI subnetwork
ENSG00000139117	CPNE8 PPI subnetwork
ENSG00000139132	FGD4 PPI subnetwork
ENSG00000139144	PIK3C2G PPI subnetwork
ENSG00000139180	NDUFA9 PPI subnetwork
ENSG00000139182	CLSTN3 PPI subnetwork
ENSG00000139190	VAMP1 PPI subnetwork
ENSG00000139197	PEX5 PPI subnetwork
ENSG00000139219	COL2A1 PPI subnetwork
ENSG00000139220	PPFIA2 PPI subnetwork
ENSG00000139239	ENSG00000139239 PPI subnetwork
ENSG00000139269	INHBE PPI subnetwork
ENSG00000139318	DUSP6 PPI subnetwork
ENSG00000139323	POC1B PPI subnetwork
ENSG00000139343	SNRPF PPI subnetwork
ENSG00000139352	ASCL1 PPI subnetwork
ENSG00000139372	TDG PPI subnetwork
ENSG00000139433	GLTP PPI subnetwork
ENSG00000139436	GIT2 PPI subnetwork
ENSG00000139496	NUPL1 PPI subnetwork
ENSG00000139505	MTMR6 PPI subnetwork
ENSG00000139514	SLC7A1 PPI subnetwork
ENSG00000139515	PDX1 PPI subnetwork
ENSG00000139546	TARBP2 PPI subnetwork
ENSG00000139549	DHH PPI subnetwork
ENSG00000139567	ACVRL1 PPI subnetwork
ENSG00000139613	SMARCC2 PPI subnetwork
ENSG00000139618	BRCA2 PPI subnetwork
ENSG00000139625	MAP3K12 PPI subnetwork
ENSG00000139626	ITGB7 PPI subnetwork
ENSG00000139637	C12orf10 PPI subnetwork
ENSG00000139668	WDFY2 PPI subnetwork
ENSG00000139687	RB1 PPI subnetwork
ENSG00000139719	VPS33A PPI subnetwork
ENSG00000139722	VPS37B PPI subnetwork
ENSG00000139726	DENR PPI subnetwork
ENSG00000139835	GRTP1 PPI subnetwork
ENSG00000139842	CUL4A PPI subnetwork
ENSG00000139921	TMX1 PPI subnetwork
ENSG00000139970	RTN1 PPI subnetwork
ENSG00000139998	RAB15 PPI subnetwork
ENSG00000140009	ESR2 PPI subnetwork
ENSG00000140022	STON2 PPI subnetwork
ENSG00000140105	WARS PPI subnetwork
ENSG00000140262	TCF12 PPI subnetwork
ENSG00000140264	SERF2 PPI subnetwork
ENSG00000140284	SLC27A2 PPI subnetwork
ENSG00000140285	FGF7 PPI subnetwork
ENSG00000140307	GTF2A2 PPI subnetwork
ENSG00000140319	SRP14 PPI subnetwork
ENSG00000140326	CDAN1 PPI subnetwork
ENSG00000140332	TLE3 PPI subnetwork
ENSG00000140350	ANP32A PPI subnetwork
ENSG00000140368	PSTPIP1 PPI subnetwork
ENSG00000140374	ETFA PPI subnetwork
ENSG00000140379	BCL2A1 PPI subnetwork
ENSG00000140382	HMG20A PPI subnetwork
ENSG00000140395	WDR61 PPI subnetwork
ENSG00000140396	NCOA2 PPI subnetwork
ENSG00000140400	MAN2C1 PPI subnetwork
ENSG00000140403	DNAJA4 PPI subnetwork
ENSG00000140416	TPM1 PPI subnetwork
ENSG00000140443	IGF1R PPI subnetwork
ENSG00000140451	PIF1 PPI subnetwork
ENSG00000140463	BBS4 PPI subnetwork
ENSG00000140464	PML PPI subnetwork
ENSG00000140474	ULK3 PPI subnetwork
ENSG00000140481	CCDC33 PPI subnetwork
ENSG00000140525	FANCI PPI subnetwork
ENSG00000140538	NTRK3 PPI subnetwork
ENSG00000140553	UNC45A PPI subnetwork
ENSG00000140564	FURIN PPI subnetwork
ENSG00000140575	IQGAP1 PPI subnetwork
ENSG00000140600	SH3GL3 PPI subnetwork
ENSG00000140612	SEC11A PPI subnetwork
ENSG00000140650	PMM2 PPI subnetwork
ENSG00000140678	ITGAX PPI subnetwork
ENSG00000140682	TGFB1I1 PPI subnetwork
ENSG00000140694	PARN PPI subnetwork
ENSG00000140740	UQCRC2 PPI subnetwork
ENSG00000140750	ARHGAP17 PPI subnetwork
ENSG00000140795	MYLK3 PPI subnetwork
ENSG00000140829	DHX38 PPI subnetwork
ENSG00000140848	CPNE2 PPI subnetwork
ENSG00000140939	NOL3 PPI subnetwork
ENSG00000140941	MAP1LC3B PPI subnetwork
ENSG00000140986	RPL3L PPI subnetwork
ENSG00000140988	RPS2 PPI subnetwork
ENSG00000140990	NDUFB10 PPI subnetwork
ENSG00000140992	PDPK1 PPI subnetwork
ENSG00000141026	MED9 PPI subnetwork
ENSG00000141027	NCOR1 PPI subnetwork
ENSG00000141030	COPS3 PPI subnetwork
ENSG00000141034	C17orf39 PPI subnetwork
ENSG00000141052	MYOCD PPI subnetwork
ENSG00000141068	KSR1 PPI subnetwork
ENSG00000141076	CIRH1A PPI subnetwork
ENSG00000141101	NOB1 PPI subnetwork
ENSG00000141141	DDX52 PPI subnetwork
ENSG00000141198	TOM1L1 PPI subnetwork
ENSG00000141200	KIF2B PPI subnetwork
ENSG00000141232	TOB1 PPI subnetwork
ENSG00000141252	VPS53 PPI subnetwork
ENSG00000141279	NPEPPS PPI subnetwork
ENSG00000141367	CLTC PPI subnetwork
ENSG00000141378	PTRH2 PPI subnetwork
ENSG00000141380	SS18 PPI subnetwork
ENSG00000141384	TAF4B PPI subnetwork
ENSG00000141404	GNAL PPI subnetwork
ENSG00000141434	MEP1B PPI subnetwork
